=====================================
Monospace 
=====================================
'Pavanam', sans-serif
'Paytone One', sans-serif
'Philosopher', sans-serif
'Play', sans-serif
'Pontano Sans', sans-serif
'Poppins', sans-serif
'Port Lligat Sans', sans-serif
'Pragati Narrow', sans-serif
'Product Sans', sans-serif
'Prompt', sans-serif
'Proza Libre', sans-serif
'PT Sans Caption', sans-serif
'PT Sans Narrow', sans-serif
'PT Sans', sans-serif
'Puritan', sans-serif
'Quantico', sans-serif
'Quattrocento Sans', sans-serif
'Questrial', sans-serif
'Quicksand', sans-serif
'Rajdhani', sans-serif
'Raleway', sans-serif
'Ramabhadra', sans-serif
'Rambla', sans-serif
'Rationale', sans-serif
'Reem Kufi', sans-serif
'Roboto Condensed', sans-serif
'Roboto', sans-serif
'Ropa Sans', sans-serif
'Rosario', sans-serif
'Rubik Mono One', sans-serif
'Rubik', sans-serif
'Ruda', sans-serif
'Ruluko', sans-serif
'Rum Raisin', sans-serif
'Russo One', sans-serif
'Saira Condensed', sans-serif
'Saira Extra Condensed', sans-serif
'Saira Semi Condensed', sans-serif
'Saira', sans-serif
'Sansita', sans-serif
'Sarala', sans-serif
'Sarpanch', sans-serif
'Scada', sans-serif
'Secular One', sans-serif
'Seymour One', sans-serif
'Shanti', sans-serif
'Share Tech', sans-serif
'Signika Negative', sans-serif
'Signika', sans-serif
'Sintony', sans-serif
'Six Caps', sans-serif
'Snippet', sans-serif
'SourceSans3', sans-serif
'Source Sans Pro', sans-serif
'Spinnaker', sans-serif
'Strait', sans-serif
'Syncopate', sans-serif
'Tauri', sans-serif
'Teko', sans-serif
'Telex', sans-serif
'Tenali Ramakrishna', sans-serif
'Tenor Sans', sans-serif
'Text Me One', sans-serif
'Timmana', sans-serif
'Titillium Web', sans-serif
'Ubuntu Condensed', sans-serif
'Ubuntu', sans-serif
'Varela Round', sans-serif
'Varela', sans-serif
'Viga', sans-serif
'Voltaire', sans-serif
'Wendy One', sans-serif
'Wire One', sans-serif
'Work Sans', sans-serif
'Yanone Kaffeesatz', sans-serif
'Yantramanav', sans-serif
=====================================
Serif
=====================================
'Abhaya Libre', serif
'Adamina', serif
'Alegreya SC', serif
'Alegreya', serif
'Alice', serif
'Alike Angular', serif
'Alike', serif
'Almendra SC', serif
'Almendra', serif
'Amethysta', serif
'Amiri', serif
'Andada', serif
'Antic Didone', serif
'Antic Slab', serif
'Arapey', serif
'Arbutus Slab', serif
'Aref Ruqaa', serif
'Artifika', serif
'Arvo', serif
'Asar', serif
'Average', serif
'Balthazar', serif
'Belgrano', serif
'Bellefair', serif
'Bentham', serif
'BioRhyme Expanded', serif
'BioRhyme', serif
'Bitter', serif
'Brawler', serif
'Bree Serif', serif
'Buenard', serif
'Cambo', serif
'Cantata One', serif
'Cardo', serif
'Caudex', serif
'Cinzel', serif
'Copse', serif
'Cormorant Garamond', serif
'Cormorant Infant', serif
'Cormorant SC', serif
'Cormorant Unicase', serif
'Cormorant Upright', serif
'Cormorant', serif
'Coustard', serif
'Crete Round', serif
'Crimson Text', serif
'Cutive', serif
'David Libre', serif
'Della Respira', serif
'Domine', serif
'Donegal One', serif
'Droid Serif', serif
'EB Garamond', serif
'Eczar', serif
'Enriqueta', serif
'Esteban', serif
'Fanwood Text', serif
'Fasthand', serif
'Fauna One', serif
'Faustina', serif
'Fenix', serif
'Fjord One', serif
'Gabriela', serif
'Gentium Basic', serif
'Gentium Book Basic', serif
'GFS Didot', serif
'Gilda Display', serif
'Glegoo', serif
'Goudy Bookletter 1911', serif
'Gurajada', serif
'Habibi', serif
'Halant', serif
'Hanuman', serif
'Headland One', serif
'Holtwood One SC', serif
'IM Fell Double Pica SC', serif
'IM Fell Double Pica', serif
'IM Fell DW Pica SC', serif
'IM Fell DW Pica', serif
'IM Fell English SC', serif
'IM Fell English', serif
'IM Fell French Canon SC', serif
'IM Fell French Canon', serif
'IM Fell Great Primer SC', serif
'IM Fell Great Primer', serif
'Inika', serif
'Inknut Antiqua', serif
'Italiana', serif
'Jacques Francois', serif
'Josefin Slab', serif
'Judson', serif
'Junge', serif
'Kadwa', serif
'Kameron', serif
'Karma', serif
'Kotta One', serif
'Kreon', serif
'Kurale', serif
'Laila', serif
'Ledger', serif
'Libre Baskerville', serif
'Linden Hill', serif
'Lora', serif
'Lusitana', serif
'Lustria', serif
'Maitree', serif
'Manuale', serif
'Marcellus SC', serif
'Marcellus', serif
'Marko One', serif
'Martel', serif
'Mate SC', serif
'Mate', serif
'Merriweather', serif
'Montaga', serif
'Neuton', serif
'Nokora', serif
'Noticia Text', serif
'Noto Serif', serif
'Old Standard TT', serif
'Oranienbaum', serif
'Ovo', serif
'Peddana', serif
'Petrona', serif
'Playfair Display SC', serif
'Playfair Display', serif
'Podkova', serif
'Poly', serif
'Port Lligat Slab', serif
'Prata', serif
'Pridi', serif
'Prociono', serif
'PT Serif Caption', serif
'PT Serif', serif
'Quando', serif
'Quattrocento', serif
'Radley', serif
'Ramaraja', serif
'Rasa', serif
'Rhodium Libre', serif
'Roboto Slab', serif
'Rokkitt', serif
'Rosarivo', serif
'Rozha One', serif
'Rufina', serif
'Sahitya', serif
'Sanchez', serif
'Scheherazade', serif
'Scope One', serif
'Slabo 13px', serif
'Slabo 27px', serif
'Sorts Mill Goudy', serif
'Source Serif Pro', serif
'Spectral', serif
'Sree Krushnadevaraya', serif
'Stoke', serif
'Suez One', serif
'Sumana', serif
'Sura', serif
'Suranna', serif
'Suravaram', serif
'Taviraj', serif
'Tienne', serif
'Tinos', serif
'Trirong', serif
'Trocchi', serif
'Trykker', serif
'Ultra', serif
'Unna', serif
'Vesper Libre', serif
'Vidaloka', serif
'Volkhov', serif
'Vollkorn', serif
'Yrsa', serif
'Zilla Slab', serif
=====================================
